image_id,human_english,human_romanian,AI_english,AI_romanian
768104674113167360-1.jpg,RT @femaIes: when you're already in a bad mood and someone decides to test you and make it worse https://t.co/1Uod5duQll,"2.Dragoste neîmpărtășită, din cauza părului albastru.
Pozitiv.
","file disney villains, the dark prince, from the disney animated film, the dark prince","Fişiere ticăloşi disney, prinţul întunecat, din filmul animat disney, prinţul întunecat"
768104820905480192-1.jpg,RT @SaithAbdullah99: when your bae asks for forgiveness again and again and again and again for the same mistake. https://t.co/ktgHHCkTBr,Dezbatere,big news in pakistan - big news in pakistan - big news in pakistan - big news in pakistan - big news in pakistan - big news in pakistan - big news in pakistan - big news in pakistan - big news in pakistan - big news in pakistan - big news in pakistan - big news in pakistan - big news in pakistan - big news in pakistan - big news,știri mari în Pakistan - știri mari în Pakistan - știri mari în Pakistan - știri mari în Pakistan - știri mari în Pakistan - știri mari în Pakistan - știri mari în Pakistan - știri mari în Pakistan - știri mari în Pakistan - știri mari în Pakistan - știri mari în Pakistan - știri mari în Pakistan - știri mari în Pakistan - știri mari în Pakistan - știri mari în Pakistan - știri mari în Pakistan - știri mari în Pakistan - știri mari în Pakistan
768105131296509952-1.jpg,I quite literally don't give a shit about this. I couldn't care less if I tried. https://t.co/FpGa5KEFGV,Este o informatie,clinton foundation - screenshot,fundație clinton - captură de ecran
768105169053593602-1.jpg,'Don't bother': why Derryn Hinch cut me off mid-sentence https://t.co/k7uLdJlNa8 https://t.co/ooPsDhEcbI,Personalitatea respectiva  este fericita de ceea ce face ,a man with a beard and pink shirt standing in front of a large window,un bărbat cu barbă şi cămaşă roz stând în faţa unei ferestre mari
768105219364311040-1.jpg,"RT @bennydiego: Trump is an insane pathological liar, criminal, unhinged conservative, shrill demagogue and will NEVER be POTUS! https://t.…",Exprimă o stare de enrvozitate și supărare ,the political cartoon by jim krebs,desenul politic al lui Jim Krebs
768105412319059969-1.jpg,"RT @PBMattyK: @PBMattyK 9. E Capitol ExpresswayHome of the worst drivers, I took this pic at 1 am and there still shows traffic https://t…",Un oraș prea aglomerat și confuz ,a map of the area where the accident happened,o hartă a zonei în care a avut loc accidentul
768105433298984962-1.jpg,RT @yearsapart_818: I'm literally crying BC of this GLO https://t.co/cfJQOm7ctT,Băiatul pare a fi fericit,a young boy smiling in front of a bush,Un băieţel zâmbind în faţa unui tufiş
768105433298984962-2.jpg,RT @yearsapart_818: I'm literally crying BC of this GLO https://t.co/cfJQOm7ctT,Oboseală și plictiseală,a man with a dog face on his face,un om cu o faţă de câine pe faţă
768105450055340032-1.jpg,RT @CINEMAGEMS: 10 Things I Hate About You (1999) https://t.co/2HitwyMCUU,Depresiv și meditativ,a man sitting at a table with a lighter in his hand,un om stând la o masă cu o brichetă în mână
768105651394473985-1.jpg,Killing an endangered species in not a game. This &gt;&gt;  @EveOnline is #Icelandic dont support Whaling #OpWhales https://t.co/NAjjTPbLXi,Wow... ce trist că lumea distruge lumea animală,people standing around a dead whale in a harbor,oameni în picioare în jurul valorii de o balenă moartă într-un port
768106108569415680-1.jpg,RT @OpenSouIs: I'd rather die of passion than of boredom https://t.co/oa1JMhXbZ3,Prezintă aminitiri și o operă a lui Van Gogh,a wall with pictures and other items on it,un perete cu imagini și alte elemente pe el
768106125346672640-1.jpg,Baby girl closes d eyes of her deceased dad in Kashmir😢😢IndianArmy continue killing civilians#FortySixDaysOfCurfew https://t.co/flfwPsTYSA,Tristețe ...copilul își pierde tatăl,a man laying on the ground with two children,un om întins pe pământ cu doi copii
768106142119653377-1.jpg,RT @VirginiaInCal: HRC has demonstrated an insatiable appetite 4 war. Our #TuesdayMotivation is to support peace candidate #JillStein http…,"Atacurile militare nu sunt o soluție pentru rezolvarea problemelor 
internaționale",the history of the usa and iraq,istoria SUA și Irak
768106175678279682-1.jpg,"Give our pure perfume oils a try, you won't be disappointed! https://t.co/QJkPzodxZ4 #UniquePerfumes #PerfumeOils https://t.co/q2QODrqDZb",Dezinteres ,unique perfumes - website design,parfumuri unice - design site-ul
768106184054276096-1.jpg,RT @TheKingOfRomee_: Retweet if you're not ashamed ???? http://t.co/28pMVW8B1N,"Bucurie , pentru că Diego Armando Maradona Îl mătrturisște pe Isus în felul lui de a fi ","person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person,","persoana, persoana, persoana, persoana, persoana, persoana, persoana, persoana, persoana, persoana, persoana, persoana, persoana, persoana, persoana, persoana, persoana, persoana, persoana, persoana, persoana, persoana, persoana, persoana, persoana, persoana, persoana, persoana, persoana, persoana, persoana, persoana, persoana, persoana, persoana, persoana, persoana, persoana, persoana, persoana, persoana, persoana, persoana, persoana, persoana, persoana, persoana, persoana, persoana, persoana, persoana, persoana, persoana, persoana, persoana, persoana, persoana, persoana, persoana, persoana, persoana"
768106406356680704-1.jpg,RT @DebbieRoxxNY: Very sad. Please RT if you live in NY https://t.co/Lf5ZMbHBKA,S-a pierdut un om și se caută un om care suferă de demență ,a man leaning against a tree with his feet on the ground,un om care se sprijina de un copac cu picioarele pe pamant
768106418943696898-1.jpg,RT @24kRose_: You bum hoes always take it too far. This is not okay people work hard for their things. Dick ain't that serious. http://t.co…,Huliganii au spart mașina ,the red sports car has been damaged in the front,Maşina sport roşu a fost avariată în faţă.
768106473478053888-1.jpg,RT @LatinosLuvTrump: Our millennials are #LatinosForTrump bc it is time to put #America1st &amp; end plague of terrorism &amp; economic worry. http…,Politica americană este împărțită ,a collage of pictures of people wearing hats and holding signs,un colaj de poze cu persoane care poartă pălării și care dețin semne
768106490267770880-1.jpg,PLL has the worst male cast ( aria's brother is an exception ) https://t.co/sVvc0wE7J1,Omul pare confuz ,a man with long hair standing in front of a television,un om cu părul lung în picioare în fața unui televizor
768106511243411456-1.jpg,"RT @fnocturnal: Honestly, i hate this kind of guy. I didn't even bother to reply to this repulsive being. https://t.co/RASfIN2pnK",Confuzie,hindi to english translation app,Hindi la aplicaţia engleză de traducere
768106758669758464-1.jpg,RT @FacedBook2: This is the sole reason #Russia is banned from the #paralympics. They can't allow this to happen again. https://t.co/PipwF1…,Respect pentru cei cu dizabilitati care lupta pentru visul lor ,the app shows the number of medals for each country,aplicația arată numărul de medalii pentru fiecare țară
768106775459475457-1.jpg,"Sos Sosowski’s ‘Mosh Pit Simulator’ is Disturbing, Funny, and Unapologetically Terrible https://t.co/mfOu0FXq3Z https://t.co/KCuizgkTh5",Nu cunosc jocul,the title screen for the game mush pit simulator,ecranul titlu pentru joc terci pit simulator
768106775484694529-1.jpg,He's such an idiot 😂🙄@italianlife101 https://t.co/lbIfEOhdQo,Baiatul e super fericit ,two students sitting at a desk with their hands up,doi elevi stând la un birou cu mâinile sus
768106783856529410-1.jpg,going to a bomb ass zoo so i won't be on anyways ✨ https://t.co/ntjBZ8HVJH,Încurajator,compliment hour quotes,cotații oră compliment
768106804815470593-1.jpg,RT @sageelani: How SDPO Sadder and his team assaulted and abused me. [1st Person] #Kashmir https://t.co/GGbhgq9lGR https://t.co/WePVZnWNRl,REspectăm oamenii care luptă pentru țara lor ,a man in uniform sitting at a desk with flags,un om în uniformă stând la un birou cu steaguri
768106867746799616-1.jpg,"tb ; @binkietae????some random people were tagged, I apologize!!???? https://t.co/ef7uytrsc1",Nu sunt o fire fotogenică ,stay positive challenge,să rămână o provocare pozitivă
768106897086054400-1.jpg,RT @rachelchhoahwd: Outrageous - over 1800 killed in the #Philippines. The government's violent 'war on drugs' must stop @RRD_Davao https:/…,Oferă șanse ,senator risa hondered,Senatorul Risa s-a mirat
768107152959471616-1.jpg,A leopard with a damaged eye in Botswana | Photo by Wayne Wetherbee https://t.co/QfGzIKhjSe,ireal,a leopard with a red eye looks at the camera,un leopard cu un ochi rosu se uita la camera
768107173918322688-2.jpg,RT @lovxtobutera: Why does she have such bad taste in men? 😒😒 https://t.co/GAC0BYNt7f,Nu este nimic rau in comunicare,a man and woman sitting at a table in a restaurant,un bărbat şi o femeie care stau la o masă într-un restaurant
768107530434195456-1.jpg,"RT @tuaningly: KMG- ""um bye lmao""- a lot of cussing cause he can't cuss around others at all- ""I'm thoroughly offended"" https://t.co/IwA…","Nu suport homosexualiatea , tipul pare un homosexual",a young man with a tie on his head,un tânăr cu o cravată pe cap
